n,p,SNR,name,file.name
500,500,0.5,500_500_0.5,simulation/dataset/500_500_0.5.csv
1000,500,0.5,1000_500_0.5,simulation/dataset/1000_500_0.5.csv
500,5000,0.5,500_5000_0.5,simulation/dataset/500_5000_0.5.csv
1000,5000,0.5,1000_5000_0.5,simulation/dataset/1000_5000_0.5.csv
500,50000,0.5,500_50000_0.5,simulation/dataset/500_50000_0.5.csv
1000,50000,0.5,1000_50000_0.5,simulation/dataset/1000_50000_0.5.csv
500,500,1,500_500_1,simulation/dataset/500_500_1.csv
1000,500,1,1000_500_1,simulation/dataset/1000_500_1.csv
500,5000,1,500_5000_1,simulation/dataset/500_5000_1.csv
1000,5000,1,1000_5000_1,simulation/dataset/1000_5000_1.csv
500,50000,1,500_50000_1,simulation/dataset/500_50000_1.csv
1000,50000,1,1000_50000_1,simulation/dataset/1000_50000_1.csv
500,500,2,500_500_2,simulation/dataset/500_500_2.csv
1000,500,2,1000_500_2,simulation/dataset/1000_500_2.csv
500,5000,2,500_5000_2,simulation/dataset/500_5000_2.csv
1000,5000,2,1000_5000_2,simulation/dataset/1000_5000_2.csv
500,50000,2,500_50000_2,simulation/dataset/500_50000_2.csv
1000,50000,2,1000_50000_2,simulation/dataset/1000_50000_2.csv
500,500,3,500_500_3,simulation/dataset/500_500_3.csv
1000,500,3,1000_500_3,simulation/dataset/1000_500_3.csv
500,5000,3,500_5000_3,simulation/dataset/500_5000_3.csv
1000,5000,3,1000_5000_3,simulation/dataset/1000_5000_3.csv
500,50000,3,500_50000_3,simulation/dataset/500_50000_3.csv
1000,50000,3,1000_50000_3,simulation/dataset/1000_50000_3.csv
